Id,Predicted
candidate11,0.327
candidate13,0.896
candidate15,0.449
candidate17,0.985
candidate22,0.56
candidate26,0.876
candidate33,0.509
candidate40,0.559
candidate42,0.635
candidate49,0.379
candidate56,0.426
candidate59,0.79
candidate60,0.173
candidate68,0.287
candidate75,0.54
candidate76,0.623
candidate77,0.639
candidate79,0.222
candidate85,0.513
candidate99,0.818
candidate100,0.552
candidate103,0.378
candidate107,0.749
candidate108,0.928
candidate112,0.678
candidate116,0.648
candidate117,0.279
candidate118,0.404
candidate128,0.501
candidate129,0.506
candidate132,0.852
candidate137,0.956
candidate144,0.527
candidate146,0.336
candidate149,0.982
candidate165,0.981
candidate167,0.416
candidate170,0.843
candidate174,0.605
candidate178,0.466
candidate189,0.505
candidate191,0.833
candidate194,0.805
candidate195,0.387
candidate197,0.384
candidate201,0.32
candidate204,0.619
candidate223,0.587
candidate239,0.522
candidate251,0.214
candidate252,0.436
candidate259,0.794
candidate264,0.545
candidate268,0.191
candidate274,0.844
candidate275,0.774
candidate278,0.391
candidate284,0.978
candidate286,0.965
candidate290,0.916
candidate300,0.443
candidate301,0.455
candidate302,0.544
candidate309,0.506
candidate312,0.298
candidate329,0.42
candidate333,0.399
candidate344,0.277
candidate346,0.337
candidate348,0.971
candidate354,0.884
candidate357,0.365
candidate360,0.48
candidate363,0.468
candidate368,0.96
candidate373,0.537
candidate384,0.879
candidate390,0.577
candidate394,0.436
candidate396,0.273
candidate397,0.863
candidate398,0.515
candidate402,0.277
candidate403,0.275
candidate412,0.832
candidate424,0.303
candidate427,0.603
candidate431,0.158
candidate439,0.88
candidate440,0.508
candidate450,0.801
candidate451,0.895
candidate455,0.962
candidate456,0.228
candidate458,0.273
candidate459,0.245
candidate463,0.685
candidate466,0.947
candidate483,0.931
candidate486,0.358
candidate489,0.539
candidate491,0.719
candidate493,0.911
candidate498,0.475
candidate499,0.379
candidate502,0.141
candidate509,0.976
candidate513,0.672
candidate524,0.787
candidate530,0.981
candidate544,0.742
candidate556,0.614
candidate563,0.497
candidate564,0.899
candidate565,0.49
candidate580,0.627
candidate582,0.44
